date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-07-09,BA,Jaguarari,city,88,0,True,33570,2917706,262.13881,0.0
2020-07-09,BA,Jaguaripe,city,52,2,True,18788,2917805,276.77241,0.0385
2020-07-09,BA,Jandaíra,city,74,1,True,10709,2917904,691.00756,0.0135
2020-07-09,BA,Jequié,city,1488,39,True,155966,2918001,954.05409,0.0262
2020-07-09,BA,Jeremoabo,city,16,0,True,40463,2918100,39.5423,0.0
2020-07-09,BA,Jiquiriçá,city,2,0,True,14537,2918209,13.758,0.0
2020-07-09,BA,Jitaúna,city,43,2,True,11166,2918308,385.09762,0.0465
2020-07-09,BA,João Dourado,city,112,2,True,25188,2918357,444.65619,0.0179
2020-07-09,BA,Juazeiro,city,1195,31,True,216707,2918407,551.43581,0.0259
2020-07-09,BA,Jucuruçu,city,7,0,True,9126,2918456,76.70392,0.0
2020-07-09,BA,Jussara,city,15,0,True,15284,2918506,98.14185,0.0
2020-07-09,BA,Jussari,city,13,0,True,5833,2918555,222.86988,0.0
2020-07-09,BA,Jussiape,city,2,0,True,6186,2918605,32.33107,0.0
2020-07-09,BA,Lafaiete Coutinho,city,9,1,True,3724,2918704,241.67562,0.1111
2020-07-09,BA,Laje,city,26,0,True,23840,2918803,109.0604,0.0
2020-07-09,BA,Lajedão,city,8,0,True,3955,2918902,202.2756,0.0
2020-07-09,BA,Lajedinho,city,1,0,True,3783,2919009,26.43405,0.0
2020-07-09,BA,Lajedo do Tabocal,city,16,0,True,8562,2919058,186.87223,0.0
2020-07-09,BA,Lamarão,city,35,0,True,8307,2919108,421.33141,0.0
2020-07-09,BA,Lapão,city,41,0,True,27223,2919157,150.60794,0.0
2020-07-09,BA,Lauro de Freitas,city,3156,49,True,198440,2919207,1590.40516,0.0155
2020-07-09,BA,Lençóis,city,21,0,True,11409,2919306,184.06521,0.0
2020-07-09,BA,Licínio de Almeida,city,12,0,True,12388,2919405,96.86794,0.0
2020-07-09,BA,Livramento de Nossa Senhora,city,24,0,True,45732,2919504,52.47966,0.0
2020-07-09,BA,Luís Eduardo Magalhães,city,427,3,True,87519,2919553,487.89406,0.007
2020-07-09,BA,Macajuba,city,10,0,True,11348,2919603,88.12125,0.0
2020-07-09,BA,Macarani,city,50,1,True,18755,2919702,266.59557,0.02
2020-07-09,BA,Macaúbas,city,4,0,True,49826,2919801,8.02794,0.0
2020-07-09,BA,Macururé,city,41,0,True,7824,2919900,524.02863,0.0
2020-07-09,BA,Madre de Deus,city,291,2,True,21093,2919926,1379.60461,0.0069
2020-07-09,BA,Maetinga,city,1,0,True,3161,2919959,31.63556,0.0
2020-07-09,BA,Maiquinique,city,18,0,True,10112,2920007,178.00633,0.0
2020-07-09,BA,Mairi,city,85,0,True,18676,2920106,455.12958,0.0
2020-07-09,BA,Malhada,city,2,0,True,16845,2920205,11.87296,0.0
2020-07-09,BA,Malhada de Pedras,city,3,0,True,8393,2920304,35.74407,0.0
2020-07-09,BA,Manoel Vitorino,city,69,1,True,13240,2920403,521.14804,0.0145
2020-07-09,BA,Mansidão,city,38,1,True,13643,2920452,278.53111,0.0263
2020-07-09,BA,Maracás,city,58,2,True,20834,2920502,278.39109,0.0345
2020-07-09,BA,Maragogipe,city,128,4,True,44677,2920601,286.50088,0.0312
2020-07-09,BA,Maraú,city,50,2,True,20570,2920700,243.07244,0.04
2020-07-09,BA,Marcionílio Souza,city,7,0,True,10406,2920809,67.26888,0.0
2020-07-09,BA,Mascote,city,18,0,True,13822,2920908,130.22717,0.0
2020-07-09,BA,Mata de São João,city,211,1,True,46583,2921005,452.95494,0.0047
2020-07-09,BA,Matina,city,0,0,True,12201,2921054,,0.0
2020-07-09,BA,Medeiros Neto,city,150,1,True,22688,2921104,661.14245,0.0067
2020-07-09,BA,Miguel Calmon,city,24,1,True,26023,2921203,92.22611,0.0417
2020-07-09,BA,Milagres,city,56,1,True,10950,2921302,511.41553,0.0179
2020-07-09,BA,Mirangaba,city,6,0,True,18338,2921401,32.71894,0.0
2020-07-09,BA,Mirante,city,7,1,True,8641,2921450,81.00914,0.1429
2020-07-09,BA,Monte Santo,city,99,2,True,49418,2921500,200.33186,0.0202
2020-07-09,BA,Morpará,city,14,2,True,8519,2921609,164.33854,0.1429
2020-07-09,BA,Morro do Chapéu,city,11,0,True,35413,2921708,31.06204,0.0
2020-07-09,BA,Mortugaba,city,10,0,True,12042,2921807,83.04268,0.0
2020-07-09,BA,Mucugê,city,14,0,True,9062,2921906,154.49128,0.0
2020-07-09,BA,Mucuri,city,219,4,True,41748,2922003,524.57603,0.0183
2020-07-09,BA,Mulungu do Morro,city,13,1,True,10889,2922052,119.38654,0.0769
2020-07-09,BA,Mundo Novo,city,1,1,True,26776,2922102,3.73469,1.0
2020-07-09,BA,Muniz Ferreira,city,16,0,True,7422,2922201,215.57532,0.0
2020-07-09,BA,Muquém de São Francisco,city,26,0,True,11348,2922250,229.11526,0.0
2020-07-09,BA,Muritiba,city,105,1,True,29399,2922300,357.15501,0.0095
2020-07-09,BA,Mutuípe,city,38,0,True,22221,2922409,171.00941,0.0
2020-07-09,BA,Nazaré,city,91,3,True,28525,2922508,319.0184,0.033
2020-07-09,BA,Nilo Peçanha,city,75,1,True,13997,2922607,535.82911,0.0133
2020-07-09,BA,Nordestina,city,70,0,True,13130,2922656,533.13024,0.0
2020-07-09,BA,Nova Canaã,city,40,0,True,16462,2922706,242.98384,0.0
2020-07-09,BA,Nova Fátima,city,7,1,True,7812,2922730,89.60573,0.1429
2020-07-09,BA,Nova Ibiá,city,67,2,True,6591,2922755,1016.5377,0.0299
2020-07-09,BA,Nova Itarana,city,9,0,True,8226,2922805,109.40919,0.0
2020-07-09,BA,Nova Redenção,city,3,0,True,9118,2922854,32.90195,0.0
2020-07-09,BA,Nova Soure,city,149,0,True,26947,2922904,552.93725,0.0
2020-07-09,BA,Nova Viçosa,city,188,3,True,43376,2923001,433.4194,0.016
2020-07-09,BA,Novo Horizonte,city,0,0,True,12385,2923035,,0.0
